Kind,Name,CountClassCoupled,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,CountClassBase,CountClassDerived,MaxInheritanceTree,CountDeclClass,CountDeclInstanceMethod,CountLineCode,CountLineComment
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.canCancelReserva",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.cancelarReserva",,,,3,1,1,,,,,,11,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getCalendario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getDiaMesReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getIdReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.getReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.setHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ExibirReservaMB.setIdReserva",,,,2,1,1,,,,,,7,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter",1,0,1,5,,1,2,0,1,,3,23,17
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.destroy",,,,1,1,0,,,,,,2,1
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.doFilter",,,,3,1,1,,,,,,14,11
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginFilter.init",,,,1,1,0,,,,,,2,1
Public Class,"br.edu.utfpr.biblioteca.salas.controller.LoginMB",4,65,2,33,,3,1,0,1,,16,126,42
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.LoginMB",,,,1,1,0,,,,,,3,0
Private Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.alreadyCadastrado",,,,1,1,0,,,,,,3,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.disabledBotaoCheckout",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.doLogin",,,,4,1,2,,,,,,23,12
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.doLogout",,,,2,1,1,,,,,,10,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirBotaoCheckin",,,,3,3,1,,,,,,8,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirBotaoCheckout",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirBtnLogout",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.exibirFormLogin",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.fazerCheckin",,,,5,1,3,,,,,,20,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.fazerCheckout",,,,5,1,3,,,,,,19,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getNomeUsuarioLogado",,,,1,1,0,,,,,,3,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getUsuario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getUsuarioLogado",,,,1,1,0,,,,,,3,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.isLogado",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.setUsuario",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB",3,78,1,22,,1,1,0,1,,14,89,0
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.RelatorioMB",,,,1,1,0,,,,,,4,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.exibirBotaoDownloadRelatorio",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.fileDownloadView",,,,3,1,1,,,,,,13,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.gerarRelatorio",,,,3,1,1,,,,,,14,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getDataFinal",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getDataInicial",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getFile",,,,3,3,1,,,,,,13,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getTipoRelatorio",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getUrlDonwload",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.isAdministradorLoggedIn",,,,2,1,1,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setDataFinal",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setDataInicial",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setTipoRelatorio",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setUrlDonwload",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB",7,81,1,35,,2,2,0,1,,23,154,48
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.ReservaRapidaMB",,,,1,1,0,,,,,,8,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.alterarEstilo",,,,2,1,1,,,,,,8,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.ativarReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.click",,,,1,1,0,,,,,,5,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getBotoesHorario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getDataAtual",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getList",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getReservado",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getSalasDisponiveis",,,,2,1,1,,,,,,10,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getSelectQtd",,,,2,1,1,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getStrHora",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getViewDataInicial",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.getViewHoraInicial",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.listarReservas",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.onDateSelect",,,,1,1,0,,,,,,6,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.onFlowProcess",,,,2,1,1,,,,,,11,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.reservarSala",,,,2,1,1,,,,,,11,4
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.reservarSalaLogado",,,,2,1,1,,,,,,13,18
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.setList",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.setReserva",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.setStrHora",,,,4,1,2,,,,,,13,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.updateBotoesAtivosPorDia",,,,4,1,2,,,,,,17,8
Public Class,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMBTest",1,0,1,1,,0,1,0,1,,1,5,4
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMBTest.test_getSalasDisponiveis",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.controller.SessionContext",1,88,1,12,,1,1,0,1,,8,37,37
Private Constructor,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.SessionContext",,,,1,1,0,,,,,,2,0
Private Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.currentExternalContext",,,,2,1,1,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.encerrarSessao",,,,1,1,0,,,,,,3,3
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getAttribute",,,,1,1,0,,,,,,3,6
Public Static Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getInstance",,,,2,1,1,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getNameUsuarioLogado",,,,2,1,0,,,,,,4,5
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getUsuarioLogado",,,,1,1,0,,,,,,3,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.setAttribute",,,,1,1,0,,,,,,3,6
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.setUsuarioLogado",,,,1,1,0,,,,,,3,5
Package,"br.edu.utfpr.biblioteca.salas.dao",,,1,23,,1,,,,4,19,150,32
Public Class,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest",9,66,1,7,,1,1,0,1,,6,44,5
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.ReservaDAOTest",,,,1,1,0,,,,,,2,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.listar",,,,2,1,1,,,,,,9,1
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.reservar",,,,1,1,0,,,,,,10,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.test_cancelarReserva",,,,1,1,0,,,,,,7,0
